cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address,applied_filters
6270774,1020680043,36061023501,Morningside Heights/Hamilton Heights,City Council District 7,Morningside Heights/Hamilton,Manhattan,New York City,,,241650,"1893 AMSTERDAM, LLC",,1926,1,1893 Amsterdam Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6696495,4028810049,36081047500,Elmhurst/Corona,City Council District 25,Elmhurst/Corona,Queens,New York City,,,380250,8505A MANAGEMENT LLC,6,2009,1,85-05a 57 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6294346,2024560037,36005018102,Highbridge/South Concourse,City Council District 16,Highbridge/Concourse,Bronx,New York City,,1,718200,1048-1064 SHERIDAN INVESTORS LLC,31,1918,1,1060 Sheridan Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6285763,1019150059,36061022600,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,746550,WEST 132ND STREET CLUSTER L.P.,10,1896,1,156 West 131 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6583232,3040870003,36047112400,East New York/Starrett City,City Council District 42,East New York/Starrett City,Brooklyn,New York City,,1,206550,"FIVE A ASSOCIATES, INC.",6,1925,1,669 Miller Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6373859,3011420007,36047030500,North Crown Heights/Prospect Heights,City Council District 35,Crown Heights/Prospect Heights,Brooklyn,New York City,,,842400,636 CLASSON ASSOC LP,6,1931,1,653 Classon Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6408321,3010407501,36047011700,Park Slope/Carroll Gardens,City Council District 39,Park Slope/Carroll Gardens,Brooklyn,New York City,,,412295,UNAVAILABLE OWNER,7,2005,1,105 15 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6306322,2024530012,36005017901,Highbridge/South Concourse,City Council District 16,Highbridge/Concourse,Bronx,New York City,,1,1498050,1264 LLC,56,1927,1,1264 Sheridan Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6275539,1020320034,36061023400,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,4983300,CHURCHILL HOUSE LP,196,1972,2,2532 Adam C Powell Blvd,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6468793,3035080042,36047090000,Brownsville/Ocean Hill,City Council District 41,Brownsville,Brooklyn,New York City,,,1018350,NYC HOUSING AUTHORITY,26,1920,1,664 Ralph Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6443622,3070530014,36047034200,Coney Island,City Council District 47,Coney Island,Brooklyn,New York City,1,,23413500,NYC HOUSING AUTHORITY,616,1974,2,2949 West 28 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6549875,3030327501,36047051100,Williamsburg/Greenpoint,City Council District 34,Greenpoint/Williamsburg,Brooklyn,New York City,,,2070013,390 LORIMER STREET CONDOMINIUM,28,2006,1,390 Lorimer Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6292695,1019140023,36061022400,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,256050,"WHGA GARVEY HOUSING DEVELOPMENT FUND COM PANY, INC.",11,1910,1,119 West 129 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6503048,3015717501,36047036700,Brownsville/Ocean Hill,City Council District 37,Brownsville,Brooklyn,New York City,,,1538552,UNAVAILABLE OWNER,41,2009,3,1870 Eastern Parkway,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6558557,3013630048,36047035900,North Crown Heights/Prospect Heights,City Council District 41,Crown Heights/Prospect Heights,Brooklyn,New York City,,,402300,CROSS STATE DEVELOPMENT INC,6,1910,1,460 Ralph Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6327250,2031110065,36005036501,Morrisania/Belmont,City Council District 15,Belmont/East Tremont,Bronx,New York City,,1,769950,MAPES BOULEVARD HOUSING DEVELOPMENT FUND  CORP,46,1924,1,2159 Southern Boulevard,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6290052,1021150034,36061024100,Washington Heights/Inwood,City Council District 7,Washington Heights/Inwood,Manhattan,New York City,,,506700,AMSTERDAM GATES HOUSING DEVELOPMENT FUND  CORPORATI,13,1910,1,500 West 157 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6375782,3026567501,36047058900,Williamsburg/Greenpoint,City Council District 33,Greenpoint/Williamsburg,Brooklyn,New York City,,,1237443,UNAVAILABLE OWNER,5,2005,1,240 North Henry Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6420100,3013200005,36047032900,South Crown Heights,City Council District 40,South Crown Heights/Lefferts Gardens,Brooklyn,New York City,,,436950,"EMMANUEL 203K, LLC",6,1907,1,415 Rogers Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6468741,3035070001,36047090600,Brownsville/Ocean Hill,City Council District 37,Brownsville,Brooklyn,New York City,,,2087550,NYC HOUSING AUTHORITY,54,1954,1,1765 Pitkin Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6434021,3017157507,36047123700,Bedford Stuyvesant,City Council District 33,Bedford Stuyvesant,Brooklyn,New York City,,,1348658,THE 777 BEDFORD AVE CONDO,12,2007,1,777 Bedford Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6328737,2031510010,36005038301,University Heights/Fordham,City Council District 15,Fordham/University Heights,Bronx,New York City,,1,301050,"UNITED NEIGHBORS HOUSING DEVELOPMENT FUN D CO.,INC.",21,1916,1,2322 Ryer Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6296832,1020430016,36061025900,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,433350,"AZOIC ASSOCIATES, LLC",8,1932,1,2653 Fredrick Douglass Bl,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6486065,3041930017,36047119600,East New York/Starrett City,City Council District 37,East New York/Starrett City,Brooklyn,New York City,,,456300,KMGS PROPERTIES LLC,18,1930,1,2 Doscher Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6250707,1003440010,36061002201,Lower East Side/Chinatown,City Council District 1,Lower East Side/Chinatown,Manhattan,New York City,,,1903050,NYC HOUSING AUTHORITY,13,2001,1,189 Stanton Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6265360,1017467501,36061019800,East Harlem,City Council District 9,East Harlem,Manhattan,New York City,,1,23540101,UNAVAILABLE OWNER,206,2007,1,1485 5 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6284856,2029270054,36005016900,Morrisania/Belmont,City Council District 16,Morrisania/Crotona,Bronx,New York City,,,382950,BRONX 1473-1479 FULTON AVENUE L.P.,20,1912,2,1473 Fulton Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6269686,1016320001,36061016600,East Harlem,City Council District 8,East Harlem,Manhattan,New York City,,,7560000,NYC HOUSING AUTHORITY,139,1963,1,1405 Park Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6301022,2026810033,36005013500,Morrisania/Belmont,City Council District 17,Morrisania/Crotona,Bronx,New York City,1,1,223650,827 HOME STREET LLC,20,1910,1,827 Home Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6292198,2033520066,36005042902,Kingsbridge Heights/Mosholu,City Council District 11,Kingsbridge Heights/Bedford,Bronx,New York City,,,397350,3343-3345 DECATUR GROUP LLC,21,1926,1,3343 Decatur Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6267366,1018640039,36061019300,Morningside Heights/Hamilton Heights,City Council District 7,Upper West Side,Manhattan,New York City,,,3883050,TULIP APT INC,49,1930,1,412 Cathedral Parkway,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6316223,2024630006,36005019700,Highbridge/South Concourse,City Council District 16,Highbridge/Concourse,Bronx,New York City,,1,1161000,TUDOR PLACE ASSOCIATES,55,1922,1,1176 Walton Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6651183,3048570029,36047081600,East Flatbush,City Council District 41,East Flatbush,Brooklyn,New York City,,,432450,462 LENOX ROAD LLC,6,2007,1,460 Lenox Road,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6322437,2026830043,36005008300,Mott Haven/Hunts Point,City Council District 17,Hunts Point/Longwood,Bronx,New York City,,,232650,ROSINA ASSOCIATES L.P,23,1907,1,567 Southern Boulevard,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6400826,3017040010,36047029900,North Crown Heights/Prospect Heights,City Council District 41,Bedford Stuyvesant,Brooklyn,New York City,,,455400,1882 FULTON HOLDINGS LLC,8,2005,1,1882 Fulton Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6326546,2031690002,36005024100,University Heights/Fordham,City Council District 14,Fordham/University Heights,Bronx,New York City,,1,1291950,2066 MORRIS AVE HOUSING DEVELOPMENT,55,2008,1,2066 Morris Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6299998,2026620019,36005013500,Morrisania/Belmont,City Council District 17,Morrisania/Crotona,Bronx,New York City,,1,932850,772 EAST 168TH STREE,60,2005,1,772 East 168 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6409760,3019490026,36047023300,Bedford Stuyvesant,City Council District 35,Bedford Stuyvesant,Brooklyn,New York City,,,415755,MZH HOUSING LLC,6,2006,1,424 Lafayette Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6590132,3042340027,36047119600,East New York/Starrett City,City Council District 42,East New York/Starrett City,Brooklyn,New York City,,1,162225,ACORN DUMONT-SNEDIKER HOUSING DEVELOPMEN T FUND,6,1930,1,526 Crescent Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6529416,3057057503,36047019200,Borough Park,City Council District 44,Borough Park,Brooklyn,New York City,,,230821,UNAVAILABLE OWNER,6,2006,2,1334 58 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6565269,3034970065,36047092400,Brownsville/Ocean Hill,City Council District 41,Brownsville,Brooklyn,New York City,,1,2587500,ACORN BRISTOL HOUSING DEVELOPMENT FUND C ORPORATION,88,2008,1,445 Thomas S Boyland St,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6247116,1000420022,36061000700,Greenwich Village/Financial District,City Council District 1,Financial District,Manhattan,New York City,,,32504850,LIBERTY STREET REALTY,287,2002,1,10 Liberty Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6444047,3005330001,36047008500,Park Slope/Carroll Gardens,City Council District 38,Park Slope/Carroll Gardens,Brooklyn,New York City,,,15256800,NYC HOUSING AUTHORITY,703,1938,7,408 Red Hook Lane,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6398847,3007927501,36047009800,Sunset Park,City Council District 38,Sunset Park,Brooklyn,New York City,,,707401,532 50TH STREET CONDOMINIUM,8,2007,1,532 50 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6251209,1003907502,36061002602,Lower East Side/Chinatown,City Council District 2,Lower East Side/Chinatown,Manhattan,New York City,,,9070650,GETHSEMANE GARDEN,70,2001,2,338 East 8 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6338146,2054790048,36005016000,Throgs Neck/Co-op City,City Council District 13,Throgs Neck/Co-op City,Bronx,New York City,,,811800,CLARENCE REALTY CORP,8,2004,1,818 Clarence Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6286168,1019130039,36061022400,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,671850,MONROE H&C LLC,10,1910,1,112 West 129 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6371088,3022637504,36047053100,Bedford Stuyvesant,City Council District 33,Greenpoint/Williamsburg,Brooklyn,New York City,,,626845,UNAVAILABLE OWNER,12,2002,1,721 Bedford Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6534838,3021667501,36047054500,Williamsburg/Greenpoint,City Council District 33,Greenpoint/Williamsburg,Brooklyn,New York City,1,,3730057,BROOKLYN VILLAS CONDOMINIUM,47,,21,,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6294503,1019550001,36061021500,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,418050,ST. NICHOLAS W. 126TH ST. L.P.,10,1910,1,311 West 128 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6389094,3015190017,36047037900,Bedford Stuyvesant,City Council District 41,Bedford Stuyvesant,Brooklyn,New York City,,1,368550,CHAUNECY SUMPTER L.P.,8,1910,1,278 Marion Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6360400,2041620032,36005026601,Throgs Neck/Co-op City,City Council District 13,Throgs Neck/Co-op City,Bronx,New York City,,,1895400,BUHRE REALTY CORP,102,1928,1,2860 Buhre Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
5911178,4049550001,36081088901,Flushing/Whitestone,City Council District 20,Flushing/Whitestone,Queens,New York City,,,328500,GOLDEN RIDGEWOOD MANAGEMENT LLC,7,2008,1,139-11 34 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6303195,1020480041,36061022102,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,602100,ICER OF 622 ST NICHOLAS LLC,10,1910,1,622 St Nicholas Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
5940177,4015447501,36081048500,Sunnyside/Woodside,City Council District 25,Elmhurst/Corona,Queens,New York City,,,1019363,UNAVAILABLE OWNER,8,1998,2,83-38 Cornish Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6697165,5005240044,36085002700,North Shore,City Council District 49,St. George/Stapleton,Staten Island,New York City,,1,248850,"THOMPSON ST. MANAGEMENT, LLC",5,2007,1,71 Thompson Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6267427,1014700030,36061013200,Upper East Side,City Council District 5,Upper East Side,Manhattan,New York City,,,704250,SENIOR LIVING OPTIONS INC,15,2004,1,438 East 76 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6444913,3020137503,36047020100,Brooklyn Heights/Fort Greene,City Council District 35,Fort Greene/Brooklyn Heights,Brooklyn,New York City,,,6417903,UNAVAILABLE OWNER,63,2009,1,541 Washington Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6694791,3070140001,36047032600,Coney Island,City Council District 47,Coney Island,Brooklyn,New York City,,,117450,OCEANGATE LAND HOLDINGS LP,,,3,2428 Neptune Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6664276,3051417501,36047152200,Flatbush,City Council District 40,Flatbush/Midwood,Brooklyn,New York City,,,1864352,UNAVAILABLE OWNER,21,2007,1,651 Coney Island Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6596279,3025977501,36047056100,Williamsburg/Greenpoint,City Council District 33,Greenpoint/Williamsburg,Brooklyn,New York City,,,1099350,UNAVAILABLE OWNER,8,2005,1,687 Leonard Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6444886,3020070001,36047017900,Brooklyn Heights/Fort Greene,City Council District 35,Fort Greene/Brooklyn Heights,Brooklyn,New York City,,,9093600,NYC HOUSING AUTHORITY,300,1974,1,761 Atlantic Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6673750,4006590078,36081006300,Astoria,City Council District 22,Astoria,Queens,New York City,,,693000,"30-76, INC.",10,2005,1,30-76 38 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6269438,1019520051,36061020901,Morningside Heights/Hamilton Heights,City Council District 9,Morningside Heights/Hamilton,Manhattan,New York City,,,1346850,321 ST. NICHOLAS APARTMENTS HOUSING DEVE LOPMENT,65,1901,1,321 St Nicholas Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6657500,4014240151,36081035300,Jackson Heights,City Council District 21,Jackson Heights,Queens,New York City,,,424800,JUNCTION BLVD. TOWERS INC.,6,2006,1,32-41 Junction Boulevard,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6441013,3018987502,36047123700,Bedford Stuyvesant,City Council District 33,Bedford Stuyvesant,Brooklyn,New York City,1,,664652,UNAVAILABLE OWNER,5,2008,1,102 Franklin Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6313992,2030700026,36005037300,Morrisania/Belmont,City Council District 15,Belmont/East Tremont,Bronx,New York City,,,544500,DIMOBR EQUITIES II LLC,25,1911,1,2119 Hughes Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6513237,3006437501,36047014500,Sunset Park,City Council District 38,Sunset Park,Brooklyn,New York City,,,724950,UNAVAILABLE OWNER,8,2003,1,204 21 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6293565,1019270044,36061022000,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,252450,"NEP WEST 119TH STREET PROPERTIES, LLC",15,1910,1,222 West 122 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6552270,3070520034,36047034200,Coney Island,City Council District 47,Coney Island,Brooklyn,New York City,1,1,9520200,SEA PARK EAST HOUSIN,332,1970,3,2966 West 28 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6306712,1022180035,36061029100,Washington Heights/Inwood,City Council District 10,Washington Heights/Inwood,Manhattan,New York City,,1,1904400,228 NAGLE REALTY LLC,100,2005,1,228 Nagle Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6467681,3034300032,36047040900,Bushwick,City Council District 37,Bushwick,Brooklyn,New York City,,,337950,LURBAN LLC,6,1910,1,866 Knickerbocker Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6523765,3064127502,36047029200,Bensonhurst,City Council District 47,Bensonhurst,Brooklyn,New York City,,,492239,UNAVAILABLE OWNER,12,,4,2102 Benson Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6547120,3011477502,36047020500,North Crown Heights/Prospect Heights,City Council District 35,Crown Heights/Prospect Heights,Brooklyn,New York City,,,1187100,UNAVAILABLE OWNER,10,2005,1,655 Washington Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6500231,3057657502,36047021000,Bay Ridge,City Council District 43,Bay Ridge/Dyker Heights,Brooklyn,New York City,,,435240,UNAVAILABLE OWNER,12,2005,1,1054 67 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6288858,2031450032,36005038301,University Heights/Fordham,City Council District 15,Fordham/University Heights,Bronx,New York City,,1,315000,UNITED NEIGHBORS HOUSING DEVELOPMENT FUN D CORP.,16,1925,1,2259 Tiebout Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6279015,1016310023,36061016600,East Harlem,City Council District 8,East Harlem,Manhattan,New York City,,,696600,METRO PROPERTIES LLC,6,1910,1,1631 Lexington Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6576262,3038030011,36047113000,Brownsville/Ocean Hill,City Council District 42,East New York/Starrett City,Brooklyn,New York City,1,1,2010600,LIVONIA TERRACE HDFC,84,1971,9,443 Alabama Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6302987,1020460056,36061023502,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,431550,CENTRAL HARLEM MUTUAL HOUSING LIMITED PA RTNERSHIP,22,1920,1,2851 8 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6408924,3018997503,36047123700,Bedford Stuyvesant,City Council District 33,Bedford Stuyvesant,Brooklyn,New York City,,,1025999,UNAVAILABLE OWNER,12,2002,2,94 Skillman Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6525893,3018837504,36047123700,Bedford Stuyvesant,City Council District 33,Bedford Stuyvesant,Brooklyn,New York City,,,656097,UNAVAILABLE OWNER,6,2002,1,45 Taaffe Place,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
5914735,4006150023,36081006300,Astoria,City Council District 22,Astoria,Queens,New York City,,,414900,"27-16 41ST AVENUE, LLC",8,2006,1,30-35 31 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6480991,4005350029,36081007900,Astoria,City Council District 22,Astoria,Queens,New York City,,,332100,JOSEPHINE DICARO,5,2007,2,30-35 14 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6373822,2045060040,36005033600,Pelham Parkway,City Council District 15,Morris Park/Bronxdale,Bronx,New York City,,1,5978250,BPE REALTY OWNER LLC,680,1929,6,2800 Bronx Park East,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6380541,2046460021,36005037800,Williamsbridge/Baychester,City Council District 12,Williamsbridge/Baychester,Bronx,New York City,,1,224100,"EASTSHORE MANAGEMENT, LLC",6,2005,1,3632 Olinville Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6019937,4015077502,36081026902,Elmhurst/Corona,City Council District 25,Elmhurst/Corona,Queens,New York City,,,1626301,UNAVAILABLE OWNER,21,2009,1,81-06 Baxter Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6309673,1021807502,36061027100,Washington Heights/Inwood,City Council District 10,Washington Heights/Inwood,Manhattan,New York City,,,948151,UNAVAILABLE OWNER,8,2003,1,114 Bennett Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6266668,1018220009,36061021600,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,463500,"133 WEST 112TH OWNER, LLC",10,1900,1,133 West 112 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6534212,3021297508,36047054900,Williamsburg/Greenpoint,City Council District 33,Greenpoint/Williamsburg,Brooklyn,New York City,,,1762200,UNAVAILABLE OWNER,14,1920,1,18 Broadway,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
